ticker,direction,entryDate,exitDate,entryPrice,exitPrice,slPrice,tpPrice,R,grossR,netR,feeCostR,slippageCostR,holding_days,MaxFavorableR,MaxAdverseR,regime,exitType
ADA,LONG,2024-03-20,2024-04-11,0.64,0.59,0.43,1.27,-0.2671,-0.255,-0.2671,0.0072,0.0049,22,0.21,0.37,BULL,SIGNAL
ADA,LONG,2024-04-15,2024-05-07,0.46,0.44,0.31,0.91,-0.1387,-0.1265,-0.1387,0.0073,0.0049,22,0.41,0.28,BULL,SIGNAL
ADA,LONG,2024-05-13,2024-05-31,0.44,0.45,0.36,0.65,0.1273,0.1513,0.1273,0.0143,0.0097,18,1.0,0.14,BULL,SIGNAL
ADA,LONG,2024-06-14,2024-06-18,0.41,0.38,0.35,0.6,-0.4661,-0.4405,-0.4661,0.0152,0.0103,4,0.13,0.71,BULL,SIGNAL
ADA,LONG,2024-07-11,2024-07-30,0.4,0.4,0.31,0.65,0.0514,0.0702,0.0514,0.0112,0.0076,19,0.71,0.16,NEUTRAL,SIGNAL
ADA,LONG,2024-08-23,2024-09-02,0.39,0.34,0.34,0.56,-1.0281,-1.0,-1.0281,0.0167,0.0113,10,0.0,1.19,BULL,SL
ADA,LONG,2024-09-24,2024-10-03,0.39,0.33,0.33,0.55,-1.0284,-1.0,-1.0284,0.0169,0.0115,9,0.5,1.01,BULL,SL
ADA,LONG,2024-10-14,2024-10-24,0.36,0.35,0.31,0.53,-0.3424,-0.3165,-0.3424,0.0155,0.0105,10,0.14,0.43,BULL,SIGNAL
ADA,LONG,2024-10-30,2024-11-04,0.36,0.33,0.3,0.51,-0.5982,-0.5707,-0.5982,0.0164,0.0111,5,0.11,0.66,BULL,SIGNAL
ADA,LONG,2024-12-11,2024-12-12,1.09,1.13,0.7,2.25,0.0824,0.0936,0.0824,0.0067,0.0045,1,0.23,0.03,BULL,SIGNAL
ADA,LONG,2024-12-26,2024-12-30,0.86,0.86,0.58,1.71,-0.0112,0.0008,-0.0112,0.0072,0.0048,4,0.18,0.1,BULL,SIGNAL
ADA,LONG,2024-12-31,2025-01-01,0.84,0.92,0.58,1.63,0.27,0.2828,0.27,0.0076,0.0052,1,0.33,0.02,BULL,SIGNAL
ADA,LONG,2025-01-03,2025-01-10,1.09,0.93,0.86,1.79,-0.6958,-0.6774,-0.6958,0.011,0.0074,7,0.25,0.88,BULL,SIGNAL
ADA,LONG,2025-01-30,2025-02-03,0.96,0.71,0.71,1.7,-1.0155,-1.0,-1.0155,0.0092,0.0062,4,0.08,1.61,BULL,SL
ADA,LONG,2025-02-20,2025-02-21,0.8,0.76,0.63,1.33,-0.262,-0.244,-0.262,0.0107,0.0073,1,0.07,0.3,BULL,SIGNAL
ADA,LONG,2025-02-26,2025-03-03,0.65,0.86,0.48,1.15,1.2227,1.2378,1.2227,0.009,0.0061,5,2.88,0.37,BULL,SIGNAL
ADA,LONG,2025-03-24,2025-03-28,0.73,0.71,0.59,1.14,-0.2074,-0.1862,-0.2074,0.0126,0.0086,4,0.31,0.3,BULL,SIGNAL
ADA,LONG,2025-04-23,2025-05-05,0.7,0.66,0.58,1.04,-0.3256,-0.3016,-0.3256,0.0144,0.0097,12,0.36,0.36,BULL,SIGNAL
ADA,LONG,2025-05-14,2025-05-16,0.8,0.76,0.62,1.33,-0.245,-0.2271,-0.245,0.0106,0.0072,2,0.06,0.3,BULL,SIGNAL
ADA,LONG,2025-05-21,2025-05-26,0.77,0.76,0.57,1.36,-0.0724,-0.0569,-0.0724,0.0093,0.0063,5,0.35,0.13,BULL,SIGNAL
ADA,LONG,2025-05-28,2025-05-30,0.75,0.69,0.6,1.19,-0.4135,-0.3933,-0.4135,0.012,0.0082,2,0.12,0.41,BULL,SIGNAL
ADA,LONG,2025-06-02,2025-06-03,0.69,0.68,0.56,1.07,-0.0607,-0.0394,-0.0607,0.0127,0.0086,1,0.13,0.1,BULL,SIGNAL
ADA,LONG,2025-06-09,2025-06-17,0.71,0.61,0.58,1.08,-0.7705,-0.7484,-0.7705,0.0132,0.0089,8,0.2,0.82,BULL,SIGNAL
ADA,LONG,2025-06-18,2025-06-25,0.6,0.57,0.48,0.98,-0.3066,-0.2877,-0.3066,0.0113,0.0076,7,0.06,0.57,BULL,SIGNAL
ADA,LONG,2025-06-26,2025-07-14,0.55,0.73,0.44,0.9,1.5324,1.5513,1.5324,0.0112,0.0076,18,1.88,0.13,BULL,SIGNAL
ADA,LONG,2025-07-30,2025-08-13,0.76,0.91,0.56,1.38,0.6809,0.6956,0.6809,0.0088,0.006,14,0.75,0.31,BULL,SIGNAL
ADA,LONG,2025-08-20,2025-08-28,0.88,0.86,0.64,1.59,-0.1123,-0.0976,-0.1123,0.0088,0.006,8,0.25,0.24,BULL,SIGNAL
ADA,LONG,2025-09-15,2025-10-10,0.86,0.75,0.75,1.21,-1.0293,-1.0,-1.0293,0.0174,0.0118,25,0.64,4.54,BULL,SL
ADA,LONG,2025-10-14,2025-11-21,0.7,0.41,0.41,1.55,-1.0097,-1.0,-1.0097,0.0058,0.0039,38,0.05,1.08,BULL,SL
APT,LONG,2023-01-18,2023-01-24,0.0,0.0,0.0,0.0,-1.1535,-1.0,-1.1535,0.0915,0.062,6,0.2,1.48,BULL,SL
APT,LONG,2023-01-27,2023-02-07,0.0,0.0,0.0,0.0,-1.1237,-1.0,-1.1237,0.0737,0.05,11,0.82,1.24,BULL,SL
APT,LONG,2023-02-08,2023-02-09,0.0,0.0,0.0,0.0,-0.18,-0.0804,-0.18,0.0593,0.0402,1,0.0,0.12,BULL,SIGNAL
APT,LONG,2023-03-27,2023-03-28,0.0,0.0,0.0,0.0,-0.0736,-0.0592,-0.0736,0.0085,0.0058,1,0.02,0.08,BULL,SIGNAL
APT,LONG,2023-04-24,2023-05-04,0.0,0.0,0.0,0.0,-0.5961,-0.5884,-0.5961,0.0046,0.0031,10,0.04,0.59,BULL,SIGNAL
APT,LONG,2023-05-05,2023-05-17,0.0,0.0,0.0,0.0,-0.4177,-0.4034,-0.4177,0.0085,0.0058,12,0.03,0.52,BULL,SIGNAL
APT,LONG,2023-06-19,2023-06-30,0.0,0.0,0.0,0.0,-0.4126,-0.4084,-0.4126,0.0025,0.0017,11,0.07,0.42,BULL,SIGNAL
APT,LONG,2023-07-03,2023-07-18,0.0,0.0,0.0,0.0,-0.189,-0.1793,-0.189,0.0058,0.0039,15,0.28,0.25,BULL,SIGNAL
APT,LONG,2023-08-30,2023-09-01,0.0,0.0,0.0,0.0,-0.1757,-0.1081,-0.1757,0.0403,0.0273,2,0.0,0.11,NEUTRAL,SIGNAL
APT,LONG,2023-10-30,2023-11-13,0.0,0.0,0.0,0.0,2.9821,3.0,2.9821,0.0107,0.0072,14,3.77,0.0,BULL,TP
APT,LONG,2023-11-14,2023-11-17,0.0,0.0,0.0,0.0,0.9846,0.9953,0.9846,0.0064,0.0043,3,1.18,0.45,BULL,SIGNAL
APT,LONG,2023-12-08,2023-12-11,0.0,0.0,0.0,0.0,2.9943,3.0,2.9943,0.0034,0.0023,3,11.58,0.0,BULL,TP
APT,LONG,2023-12-12,2023-12-13,0.0,0.0,-0.0,0.01,-0.0585,-0.0553,-0.0585,0.0019,0.0013,1,0.0,0.1,BULL,SIGNAL
APT,LONG,2023-12-22,2023-12-25,0.0,0.01,-0.0,0.01,2.9983,3.0,2.9983,0.001,0.0007,3,4.47,0.0,BULL,TP
APT,LONG,2024-01-11,2024-01-12,0.0,0.0,-0.0,0.01,0.0249,0.0266,0.0249,0.001,0.0007,1,0.03,0.0,BULL,SIGNAL
APT,LONG,2024-01-17,2024-01-23,0.0,0.0,0.0,0.0,0.1994,0.2124,0.1994,0.0078,0.0053,6,0.84,0.96,BULL,SIGNAL
APT,LONG,2024-03-18,2024-03-21,0.0,0.0,0.0,0.0,0.0516,0.0585,0.0516,0.0041,0.0028,3,0.08,0.01,BULL,SIGNAL
APT,LONG,2024-06-03,2024-06-06,0.0,0.0,0.0,0.0,-0.7922,-0.7465,-0.7922,0.0273,0.0185,3,0.0,0.8,BULL,SIGNAL
AR,LONG,2021-02-01,2021-02-25,5.01,12.46,2.53,12.46,2.992,3.0,2.992,0.0048,0.0032,24,3.3,0.01,BULL,TP
AR,LONG,2021-03-01,2021-03-29,10.72,29.7,4.39,29.7,2.9933,3.0,2.9933,0.004,0.0027,28,3.0,0.07,BULL,TP
AR,LONG,2021-04-12,2021-05-19,26.7,15.33,15.33,60.79,-1.0093,-1.0,-1.0093,0.0055,0.0038,37,1.61,1.29,BULL,SL
AR,LONG,2021-05-21,2021-08-16,15.41,19.75,-4.59,75.42,0.2141,0.2172,0.2141,0.0018,0.0012,87,0.46,0.42,NEUTRAL,SIGNAL
AR,LONG,2021-08-25,2021-08-27,26.87,38.35,10.77,75.17,0.7062,0.7128,0.7062,0.0039,0.0027,2,0.95,0.2,BULL,SIGNAL
AR,LONG,2021-10-14,2021-10-15,52.24,53.93,26.94,128.15,0.0586,0.0667,0.0586,0.0049,0.0033,1,0.07,0.06,BULL,SIGNAL
AR,LONG,2021-10-18,2021-10-26,50.74,53.42,28.47,117.57,0.1112,0.1202,0.1112,0.0054,0.0036,8,0.33,0.03,BULL,SIGNAL
AR,LONG,2021-11-01,2021-11-02,53.17,75.99,34.12,110.33,1.1869,1.1979,1.1869,0.0066,0.0045,1,1.2,0.0,BULL,SIGNAL
AR,LONG,2021-11-19,2021-12-16,59.58,46.5,30.24,147.59,-0.4537,-0.4457,-0.4537,0.0048,0.0032,27,0.23,0.83,BULL,SIGNAL
AR,LONG,2021-12-21,2021-12-22,54.36,53.12,34.03,115.32,-0.0712,-0.0606,-0.0712,0.0063,0.0043,1,0.11,0.07,BULL,SIGNAL
AR,LONG,2022-01-13,2022-02-21,49.37,26.66,26.66,117.48,-1.0086,-1.0,-1.0086,0.0051,0.0035,39,0.09,1.12,NEUTRAL,SL
AR,LONG,2023-01-13,2023-01-18,8.34,8.65,6.96,12.46,0.2001,0.2241,0.2001,0.0143,0.0097,5,1.02,0.0,BULL,SIGNAL
