ticker,direction,entryDate,exitDate,entryPrice,exitPrice,R,exitType,holding_hours
SOLUSDT,LONG,2022-02-12 10:00:00,2022-02-13 18:00:00,95.78,91.99857142857142,-1.151,SL,32
SOLUSDT,LONG,2022-02-28 17:00:00,2022-03-02 03:00:00,95.38,103.72857142857143,1.8638,TP,34
SOLUSDT,LONG,2022-03-09 14:00:00,2022-03-10 04:00:00,86.86,83.73142857142857,-1.1655,SL,14
SOLUSDT,LONG,2022-03-28 01:00:00,2022-03-28 14:00:00,106.01,111.99285714285715,1.7888,TP,13
SOLUSDT,LONG,2022-07-21 03:00:00,2022-07-23 03:00:00,40.04,41.08,0.3204,TIME,48
SOLUSDT,LONG,2022-07-23 14:00:00,2022-07-23 18:00:00,40.27,38.97285714285715,-1.185,SL,4
SOLUSDT,LONG,2022-07-27 21:00:00,2022-07-28 16:00:00,39.55,42.455714285714286,1.8378,TP,19
SOLUSDT,LONG,2022-08-15 10:00:00,2022-08-17 10:00:00,44.25,42.88,-0.9491,TIME,48
SOLUSDT,LONG,2022-09-09 21:00:00,2022-09-11 21:00:00,34.82,34.53,-0.5107,TIME,48
SOLUSDT,LONG,2022-11-07 13:00:00,2022-11-07 22:00:00,31.53,30.25857142857143,-1.1478,SL,9
SOLUSDT,LONG,2023-01-14 03:00:00,2023-01-16 03:00:00,22.27,23.22,0.5135,TIME,48
SOLUSDT,LONG,2023-01-19 06:00:00,2023-01-20 20:00:00,21.45,23.784285714285712,1.8905,TP,38
SOLUSDT,LONG,2023-01-21 01:00:00,2023-01-22 20:00:00,24.91,23.55,-1.1092,SL,43
SOLUSDT,LONG,2023-01-25 12:00:00,2023-01-25 21:00:00,23.13,24.909999999999997,1.8451,TP,9
SOLUSDT,LONG,2023-02-15 21:00:00,2023-02-16 21:00:00,23.58,22.88285714285714,-1.2016,SL,24
SOLUSDT,LONG,2023-03-13 01:00:00,2023-03-13 09:00:00,20.23,19.245714285714286,-1.1225,SL,8
SOLUSDT,LONG,2023-03-14 00:00:00,2023-03-15 15:00:00,20.4,19.495714285714286,-1.1345,SL,39
SOLUSDT,LONG,2023-03-18 02:00:00,2023-03-18 23:00:00,22.07,21.09285714285714,-1.1346,SL,21
SOLUSDT,LONG,2023-04-11 03:00:00,2023-04-11 04:00:00,21.24,22.005714285714287,1.6694,TP,1
SOLUSDT,LONG,2023-04-11 06:00:00,2023-04-11 14:00:00,21.97,23.23,1.7922,TP,8
SOLUSDT,LONG,2023-06-21 02:00:00,2023-06-23 02:00:00,17.0,16.74,-0.7206,TIME,48
SOLUSDT,LONG,2023-08-29 19:00:00,2023-08-30 14:00:00,21.55,20.865714285714287,-1.1877,SL,19
